name,category,is_expected_total_r,is_net_profit,is_trades_per_month,is_profit_factor,is_max_drawdown_pct,oos_expected_total_r,oos_net_profit,oos_trades_per_month,oos_profit_factor,oos_max_drawdown_pct,is_guardrail,oos_floor,strict_joint_uplift,preliminary_score
exit__quick_6_min_m0p25,early_exit,238.0142576995783,27586.690000000002,56.767666903409086,1.8287372302375475,0.11103892045174135,47.42637340957859,2509.1500000000074,59.353125000000006,3.0898089384172205,0.016366025254051803,False,True,False,0.9553732926791912
confirm__bars1__mae_0p8,entry_confirmation,226.2446344485474,25202.13000000004,53.04944957386363,1.8323536940004612,0.12292845316265341,48.03406612655711,2644.1700000000073,53.265625,3.3679063644586265,0.022613976670645408,False,True,False,0.9399434017444225
reclaim__or__default,entry_expansion,258.7514627452668,33301.500000000015,59.31853693181818,1.849185137736471,0.12731227014403912,42.53497956584916,2446.3800000000065,56.309375,2.8301227622631457,0.01997960680674834,False,False,False,0.9382465072289756
geometry__entry_range_cap_0p75,signal_geometry,233.39477048842787,29342.129999999972,49.41770241477273,2.0363534450422867,0.08268173792432795,45.6228877256806,2242.730000000006,48.7,3.8948910574143047,0.01649546394891652,False,True,False,0.9306147803453142
mature__bars4__mfe010__stop_m0p4,maturation,238.07807236816217,27659.260000000017,56.89737215909091,1.8030330259796556,0.11080787281069003,46.98632403464042,2304.57000000001,57.831250000000004,2.8639959235174386,0.018079367108334205,False,True,False,0.9298779311682352
mature__bars4__mfe010__stop_m0p25,maturation,237.66735655404767,27854.080000000013,57.20001775568181,1.8082370651683155,0.10659459210934609,45.849325164349544,2209.320000000009,58.84583333333334,2.7481286892120864,0.017593279968306983,False,False,False,0.9184838907559563
geometry__avwap_cap_0p01,signal_geometry,241.4928384616571,29815.73999999999,52.66033380681818,1.9577064952184915,0.12157853561570395,44.14790187799835,2237.6200000000085,49.71458333333334,3.2297045488515925,0.018966650636853887,True,True,False,0.9108049860477075
confirm__bars1__mae_0p65,entry_confirmation,253.8212610842055,27394.330000000045,51.75239701704545,1.9266521416014606,0.11598051537434047,40.323308195150176,2112.9700000000066,54.7875,2.8706795807068612,0.0224178118481032,False,False,False,0.8851985764812385
mature__bars4__mfe020,maturation,204.15710874449385,20794.490000000027,58.45383522727272,1.6732310053225257,0.10785101879553058,46.62499316738164,2118.580000000006,61.889583333333334,2.7355878329114414,0.012322709068222509,False,False,False,0.8818009551107395
confirm__bars1__mae065_size105,entry_confirmation_composite,251.34286004320018,28607.450000000044,51.27681107954545,1.9275770442316351,0.11965546077424308,38.40091433137812,2205.130000000007,52.75833333333333,2.874919225929338,0.022698138966107288,True,False,False,0.8785256794568109
mature__bars4__mfe010,maturation,218.62118885733656,25774.49000000001,57.93501420454545,1.7732322256568787,0.10134223803368789,43.675157234811394,1992.1300000000074,60.36770833333333,2.5777747857629465,0.017359444611961202,False,False,False,0.8768760834919759
geometry__breakout_cap_0p75,signal_geometry,229.62235119514014,23595.61,44.79154829545454,1.8502996061947927,0.11167551650658838,46.59192062710085,2195.9800000000055,46.16354166666667,3.217086665051302,0.024594656533116134,False,True,False,0.8747985218348643
confirm__bars1__mae050_size110,entry_confirmation_composite,236.91164593128337,28594.52000000003,49.59064275568181,1.9408088229246028,0.11089396684394062,39.23079803424553,2230.7000000000066,51.23645833333334,2.9412752699962694,0.022847890696998115,False,False,False,0.873353288387647
quality__hard_min_60p0,signal_quality,225.2650271156149,28857.199999999983,49.85005326704545,1.954963761797147,0.10876774193031293,41.5929066289789,2226.4600000000046,45.14895833333333,2.9898116951015803,0.017532806731468238,False,False,False,0.866916064949414
confirm__bars1__mae_0p5,entry_confirmation,234.89315651397467,26540.020000000033,50.41210937499999,1.9302867342052945,0.10339252908756863,39.06947035272129,2007.4800000000066,54.280208333333334,2.8839140757702424,0.022197834954780785,False,False,False,0.8579671019218356
exit__quick_8_min_0p0,early_exit,206.87669225582846,21407.90999999999,57.80530894886363,1.6921679419621458,0.12625080885639334,41.0012109535474,2059.5500000000065,59.86041666666667,2.510975305562496,0.020647133676966325,False,False,False,0.8373750542480156
confirm__bars1__delay_only,entry_confirmation,75.6833337472805,24449.63000000003,55.12473366477273,1.7768584196204695,0.13927553627723577,46.98001207250307,2603.1700000000083,53.77291666666667,3.254041510446896,0.022613976670645408,False,True,False,0.8354173732929551
confirm__bars1__rvol_ratio050,entry_confirmation,72.91969294506272,21962.410000000033,49.24476207386363,1.788534685615275,0.14449560121552332,49.44900078560503,2627.640000000006,49.71458333333334,3.672076634430595,0.014922448730323659,False,True,False,0.8316141496773286
mature__bars4__above_breakout,maturation,179.83743770045854,17153.27999999998,57.589133522727266,1.5376115056324007,0.1224000755896246,41.799252111032295,2177.480000000007,59.353125000000006,2.7910737493214124,0.019395052818056452,False,False,False,0.8261884574165886
mature__bars4__current0_breakout_fail2,maturation,179.83743770045854,17153.27999999998,57.589133522727266,1.5376115056324007,0.1224000755896246,41.799252111032295,2177.480000000007,59.353125000000006,2.7910737493214124,0.019395052818056452,False,False,False,0.8261884574165886
geometry__avwap_cap_0p0075,signal_geometry,227.0246816037684,26040.719999999994,49.72034801136363,1.924245876678343,0.10918494690202228,37.60955789730034,1849.9300000000064,47.178125,2.6805934081907146,0.020480487978882436,False,False,False,0.8119142209954171
quality__hard_min_62p5,signal_quality,219.32152876976605,26877.660000000018,45.829190340909086,1.9889698915607552,0.10215408499902978,36.227772162283244,2017.470000000002,42.10520833333334,2.913472755726284,0.014442105832458,False,False,False,0.8065279321872175
mature__bars4__mae050,maturation,161.6863398058227,15985.76000000001,57.76207386363636,1.523266151575976,0.12340193386714707,40.83110055662283,2120.9400000000073,59.86041666666667,2.660071069645132,0.025483849474507242,False,False,False,0.8012832820569226
confirm__bars1__mae_0p35,entry_confirmation,184.03109572509686,21405.62000000002,46.95330255681818,1.8491729283339453,0.08838784318321885,39.101943154293096,1906.1000000000067,51.23645833333334,2.7710075445051627,0.018283979726016576,False,False,False,0.7923048772375724
confirm__bars1__current_m0p1,entry_confirmation,191.13447551912535,19687.030000000035,42.24067826704545,1.888444374044127,0.08402745015320746,37.20422426790019,1944.8300000000074,49.71458333333334,3.024493832301064,0.018371548223439556,False,False,False,0.7839713645908484
